3,2.21E-10,-0.52568,0,0.24595,110,-0.0044671
7,9.41E-05,-0.33954,0,0.87963,411,0.00049391
19,4.55E-09,-0.49117,0,0.70863,329,-0.0014776
31,2.36E-05,0.36571,0,0.13158,58,0.0058237
32,0.00038831,0.31009,1,0.014388,8,0.01223
40,1.42E-09,0.50491,0,0.625,282,0.0018733
44,0.00031977,-0.31431,0,0.94311,440,0.00023443
46,5.83E-07,-0.42627,0,0.96178,447,0.00021174
50,4.44E-14,0.6059,0,0.50909,226,0.0026201
51,3.96E-05,0.35618,0,0.1637,67,0.0050001
55,2.43E-09,0.49863,0,0.31169,142,0.0040802
56,1.84E-11,0.55143,0,0.31673,147,0.0043788
57,2.49E-11,0.54837,0,0.16376,68,0.0052137
60,1.26E-13,0.59719,0,0.1682,72,0.0051505
61,2.27E-08,0.47112,0,0.22112,102,0.0044732
63,1.08E-09,-0.50806,0,0.66327,310,-0.0018266
67,9.04E-13,0.57991,1,0.022082,11,0.0088359
73,6.89E-07,0.42378,0,0.096774,47,0.0055284
82,0.00010188,-0.33797,0,0.45277,196,-0.0027438
88,1.26E-08,0.47864,0,0.053004,29,0.0073581
94,3.20E-05,0.36015,0,0.74086,349,0.0011767
95,4.65E-14,0.60552,0,0.61204,275,0.0020661
97,2.24E-06,-0.40559,0,0.78788,371,-0.0008606
102,1.22E-07,0.44867,0,0.57468,254,0.0023519
105,0.00010064,-0.33821,0,0.46844,212,-0.0030748
110,5.53E-05,-0.34986,0,0.30868,141,-0.0034906
114,3.34E-12,0.56788,0,0.4902,220,0.0028475
116,0.00010802,0.33681,1,0.015873,9,0.0097061
120,0.00013911,-0.33172,0,0.92958,432,0.00026517
121,1.77E-09,-0.50237,0,0.4129,177,-0.0027974
122,4.79E-05,-0.3526,0,0.81728,377,-0.0008371
129,0.00024929,-0.31963,0,0.24573,109,-0.0046739
139,2.25E-10,-0.52548,0,0.57721,256,-0.0022989
142,2.09E-06,-0.40667,0,0.094937,46,-0.0059836
144,1.02E-09,-0.50869,0,0.88636,415,-0.00065619
159,7.42E-05,-0.34421,0,0.50163,224,-0.002449
163,6.55E-12,0.56149,0,0.088235,45,0.0055866
164,3.73E-05,0.35731,0,0.27899,129,0.0038266
174,2.24E-09,0.49962,0,0.57798,257,0.0023077
175,3.90E-05,0.35648,0,0.35099,158,0.0033816
181,4.88E-12,0.5643,0,0.63344,289,0.0018737
183,4.46E-14,0.60586,0,0.07047,37,0.0063626
191,2.92E-11,0.5468,0,0.46441,207,0.0026848
193,1.49E-08,0.47646,0,0.07971,42,0.0050961
194,0.00010517,0.33734,0,0.57045,252,0.0015954
195,0.00014164,-0.33135,0,0.71895,337,-0.0013372
198,3.81E-06,-0.39703,0,0.2,92,-0.004725
202,1.30E-10,0.53135,1,0.031847,17,0.0087685
208,4.43E-08,0.4624,0,0.46099,201,0.0030795
209,1.58E-05,-0.37287,0,0.47436,214,-0.0025853
211,3.42E-06,0.39879,0,0.17254,73,0.004405
221,1.86E-08,-0.47366,0,0.15957,65,-0.0050472
223,1.51E-06,0.41174,0,0.16558,71,0.0048823
226,1.90E-05,-0.36958,0,0.74818,352,-0.0014488
228,7.19E-07,0.42314,0,0.90968,426,0.00046767
231,6.00E-08,0.45835,0,0.30769,140,0.0039511
239,1.91E-10,0.52725,0,0.37829,169,0.0030416
243,8.74E-05,0.341,0,0.64029,297,-0.0022933
250,1.15E-05,0.37847,0,0.98947,457,-7.22E-05
252,5.38E-07,0.42747,0,0.36964,167,0.0034913
256,1.95E-05,0.36911,0,0.77181,362,0.0010857
260,1.97E-12,0.5728,0,0.51803,232,0.0027145
264,7.11E-07,0.4233,0,0.23214,104,0.0049421
265,1.28E-08,0.47845,0,0.44444,189,0.0031012
268,0.00025519,-0.31913,0,0.19929,90,-0.0050832
283,1.84E-08,0.47378,0,0.28659,132,0.0040791
